Comment,Designator,Footprint,LCSC,Quantity
0,"R27,R28",R_0402_1005Metric,C17168,2
0.1u,"C1,C10,C11,C12,C13,C14,C15,C16,C17,C2,C20,C26,C27,C29,C3,C30,C31,C32,C36,C37,C39,C4,C40,C41,C5,C6,C7,C8,C9",C_0402_1005Metric,C307331,29
100R,R50,R_0402_1005Metric,C25076,1
100k,R51,R_0402_1005Metric,C25741,1
10R,"R11,R12,R14,R15,R17,R18,R20,R21,R23,R24,R8,R9",R_0402_1005Metric,C25077,12
10k,"R10,R13,R16,R19,R22,R25,R26,R39,R40,R49,R7",R_0402_1005Metric,C25744,11
10u,"C19,C25,C28,C35",C_0603_1608Metric,C96446,4
1N4148W,D6,D_SOD-123,C81598,1
1k,"R33,R34,R35,R47,R48",R_0402_1005Metric,C11702,5
1u,"C18,C33",C_0402_1005Metric,C52923,2
2.2k,"R41,R42,R43,R44,R45",R_0402_1005Metric,C25879,5
200k,R46,R_0402_1005Metric,C25764,1
220R,R38,R_0402_1005Metric,C25091,1
22p,"C23,C24",C_0402_1005Metric,C1555,2
22u,C38,C_0805_2012Metric,C45783,1
32.768k FC-135 12.5pF,Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,C32346,1
33p,"C21,C22",C_0402_1005Metric,C1562,2
3m,"R1,R2,R3,R4,R5,R6",R_Shunt_Vishay_WSKW0612,C1517434,6
470531000,M2,FanPinHeader_1x04_P2.54mm_Vertical,C240840,1
470p,C34,C_0603_1608Metric,C1620,1
5.1k,"R29,R30,R31,R32,R36,R37",R_0402_1005Metric,C25905,6
8M YSX530GA 20pF,Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,C115962,1
ADuM260N,U12,SOIC-16W_7.5x12.8mm_P1.27mm,C660709,1
AO3400A,Q1,SOT-23,C20917,1
B0505ST8-W3,U10,SSO-8_6.8x5.9mm_P1.27mm_Clearance8mm,C22751415,1
BLUE,D3,LED_0603_1608Metric,C2290,1
FerriteBead_Small,FB1,L_0603_1608Metric,C1002,1
FerriteBead_Small,FB2,L_0603_1608Metric,C14709,1
GREEN,D2,LED_0603_1608Metric,C89811,1
INA238,"U1,U2,U3,U4,U5,U6",VSSOP-10_3x3mm_P0.5mm,C2868250,6
ISO1540,U11,SOIC-8_3.9x4.9mm_P1.27mm,C179739,1
MIC5219-3.3YM5,U13,SOT-23-5,C29613,1
MLT-8530,BZ1,MagneticBuzzer_CUI_CMT-8504-100-SMT,C94599,1
PCA9306,U14,VSSOP-8_2.3x2mm_P0.5mm,C33196,1
PCM12,SW2,SW_SPDT_PCM12,C221841,1
PH 1x02 2.54,"J4,J5",PinHeader_1x02_P2.54mm_Horizontal,C2905424,2
PURPLE,D5,LED_0603_1608Metric,C89811,1
RED,D1,LED_0603_1608Metric,C2286,1
S2B-PH-K 1x02 P2,"J6,J7",JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,C157932,2
SKRK,SW1,SW_Push_SPST_NO_Alps_SKRK,C115357,1
STM32F103C8Tx,U7,LQFP-48_7x7mm_P0.5mm,C8734,1
TLP175A,U9,Toshiba_SOIC-4-6_4.4x3.6mm_P1.27mm,C141522,1
TMP102xxDRL,"U15,U16,U17",SOT-563,C99269,3
USBLC6-2SC6,U8,SOT-23-6,C7519,1
USB_C_Receptacle_USB2.0_16P,J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
WHITE,D4,LED_0603_1608Metric,C2290,1
10164279-124121LF,J2,10164279-001LF,,1
10164279-124121LF,J1,10164279-001LF,,1
Conn_01x04,J8,PinHeader_1x04_P2.54mm_Vertical,,1
