Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,MLT-8530,MagneticBuzzer_CUI_CMT-8504-100-SMT,142.05,-84.85,-90.0,top
C1,0.1u,C_0402_1005Metric,86.3,-77.9,-90.0,top
C10,0.1u,C_0402_1005Metric,86.3,-62.6,90.0,top
C11,0.1u,C_0402_1005Metric,86.3,-55.9,-90.0,top
C12,0.1u,C_0402_1005Metric,86.3,-58.2,90.0,top
C13,0.1u,C_0402_1005Metric,117.8,-77.1,180.0,top
C14,0.1u,C_0402_1005Metric,116.8,-75.3,90.0,top
C15,0.1u,C_0402_1005Metric,120.0,-67.1,0.0,top
C16,0.1u,C_0402_1005Metric,128.2,-70.0,-90.0,top
C17,0.1u,C_0402_1005Metric,123.6,-78.5,180.0,top
C18,1u,C_0402_1005Metric,123.6,-79.5,180.0,top
C19,10u,C_0603_1608Metric,129.7,-70.5,-90.0,top
C2,0.1u,C_0402_1005Metric,86.3,-80.2,90.0,top
C20,0.1u,C_0402_1005Metric,130.5,-93.7,180.0,top
C21,33p,C_0402_1005Metric,119.4,-84.65,90.0,top
C22,33p,C_0402_1005Metric,126.75,-84.65,90.0,top
C23,22p,C_0402_1005Metric,115.9,-81.75,180.0,top
C24,22p,C_0402_1005Metric,118.1,-81.75,0.0,top
C25,10u,C_0603_1608Metric,117.6,-96.0,90.0,top
C26,0.1u,C_0402_1005Metric,116.1,-96.0,90.0,top
C27,0.1u,C_0402_1005Metric,101.9,-98.6,90.0,top
C28,10u,C_0603_1608Metric,100.4,-98.6,90.0,top
C29,0.1u,C_0402_1005Metric,106.5,-68.9,180.0,top
C3,0.1u,C_0402_1005Metric,86.3,-73.5,-90.0,top
C30,0.1u,C_0402_1005Metric,111.5,-68.8,0.0,top
C31,0.1u,C_0402_1005Metric,106.025,-51.875,0.0,top
C32,0.1u,C_0402_1005Metric,112.2,-51.9,180.0,top
C33,1u,C_0402_1005Metric,131.3,-62.4,0.0,top
C34,470p,C_0603_1608Metric,132.6,-56.2,90.0,top
C35,10u,C_0603_1608Metric,131.0,-56.2,90.0,top
C36,0.1u,C_0402_1005Metric,113.15,-85.25,-90.0,top
C37,0.1u,C_0402_1005Metric,113.15,-77.6,90.0,top
C38,22u,C_0805_2012Metric,116.8,-85.3,0.0,top
C39,0.1u,C_0402_1005Metric,52.0,-36.5,0.0,top
C4,0.1u,C_0402_1005Metric,86.3,-75.8,90.0,top
C40,0.1u,C_0402_1005Metric,51.8,-68.0,-90.0,top
C41,0.1u,C_0402_1005Metric,52.1,-99.5,180.0,top
C5,0.1u,C_0402_1005Metric,86.3,-69.1,-90.0,top
C6,0.1u,C_0402_1005Metric,86.3,-71.4,90.0,top
C7,0.1u,C_0402_1005Metric,86.3,-60.3,-90.0,top
C8,0.1u,C_0402_1005Metric,86.3,-67.0,90.0,top
C9,0.1u,C_0402_1005Metric,86.3,-64.7,-90.0,top
D1,RED,LED_0603_1608Metric,134.428035,-79.219739,90.0,top
D2,GREEN,LED_0603_1608Metric,132.738035,-79.219739,90.0,top
D3,BLUE,LED_0603_1608Metric,131.028035,-79.219739,90.0,top
D4,WHITE,LED_0603_1608Metric,120.0,-63.6,0.0,top
D5,PURPLE,LED_0603_1608Metric,120.0,-58.4,0.0,top
D6,1N4148W,D_SOD-123,143.9,-78.075,180.0,top
FB1,FerriteBead_Small,L_0603_1608Metric,126.05,-79.5,180.0,top
FB2,FerriteBead_Small,L_0603_1608Metric,138.0,-63.3,180.0,top
J1,10164279-124121LF,10164279-001LF,54.17,-85.0,-90.0,top
J2,10164279-124121LF,10164279-001LF,54.17,-51.0,-90.0,top
J3,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,143.44,-66.4,90.0,top
J4,PH 1x02 2.54,PinHeader_1x02_P2.54mm_Horizontal,120.655,-44.385,90.0,top
J5,PH 1x02 2.54,PinHeader_1x02_P2.54mm_Horizontal,127.795,-44.385,90.0,top
J6,S2B-PH-K 1x02 P2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,141.85,-54.55,90.0,top
J7,S2B-PH-K 1x02 P2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,141.85,-46.6,90.0,top
J8,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,112.7,-40.64,0.0,top
M2,470531000,FanPinHeader_1x04_P2.54mm_Vertical,116.09,-91.3475,180.0,top
Q1,AO3400A,SOT-23,138.6,-77.675,-90.0,top
R1,3m,R_Shunt_Vishay_WSKW0612,75.99975,-68.0,0.0,top
R10,10k,R_0402_1005Metric,93.7,-79.8,-90.0,top
R11,10R,R_0402_1005Metric,84.8,-76.5,0.0,top
R12,10R,R_0402_1005Metric,84.8,-75.5,0.0,top
R13,10k,R_0402_1005Metric,93.7,-75.4,-90.0,top
R14,10R,R_0402_1005Metric,84.8,-72.1,0.0,top
R15,10R,R_0402_1005Metric,84.8,-71.1,0.0,top
R16,10k,R_0402_1005Metric,93.7,-71.0,-90.0,top
R17,10R,R_0402_1005Metric,84.8,-67.7,0.0,top
R18,10R,R_0402_1005Metric,84.8,-66.7,0.0,top
R19,10k,R_0402_1005Metric,93.7,-66.6,-90.0,top
R2,3m,R_Shunt_Vishay_WSKW0612,71.99975,-68.0,0.0,top
R20,10R,R_0402_1005Metric,84.8,-63.3,0.0,top
R21,10R,R_0402_1005Metric,84.8,-62.3,0.0,top
R22,10k,R_0402_1005Metric,93.7,-62.2,-90.0,top
R23,10R,R_0402_1005Metric,84.8,-58.9,0.0,top
R24,10R,R_0402_1005Metric,84.8,-57.9,0.0,top
R25,10k,R_0402_1005Metric,93.7,-57.8,-90.0,top
R26,10k,R_0402_1005Metric,124.75,-93.9,180.0,top
R27,0,R_0402_1005Metric,122.0,-80.3,90.0,top
R28,0,R_0402_1005Metric,119.5,-80.3,90.0,top
R29,5.1k,R_0402_1005Metric,138.6,-64.7,180.0,top
R3,3m,R_Shunt_Vishay_WSKW0612,67.99975,-68.0,0.0,top
R30,5.1k,R_0402_1005Metric,138.6,-67.8,0.0,top
R31,5.1k,R_0402_1005Metric,113.9,-73.6,-90.0,top
R32,5.1k,R_0402_1005Metric,113.9,-71.3,90.0,top
R33,1k,R_0402_1005Metric,134.428035,-76.719739,-90.0,top
R34,1k,R_0402_1005Metric,132.728035,-76.719739,-90.0,top
R35,1k,R_0402_1005Metric,131.028035,-76.719739,-90.0,top
R36,5.1k,R_0402_1005Metric,104.1,-73.6,-90.0,top
R37,5.1k,R_0402_1005Metric,104.1,-71.3,90.0,top
R38,220R,R_0402_1005Metric,119.5875,-50.7,90.0,top
R39,10k,R_0402_1005Metric,139.4,-57.09,-90.0,top
R4,3m,R_Shunt_Vishay_WSKW0612,63.99975,-68.0,0.0,top
R40,10k,R_0402_1005Metric,139.5,-49.1,-90.0,top
R41,2.2k,R_0402_1005Metric,122.5,-63.6,0.0,top
R42,2.2k,R_0402_1005Metric,112.15,-85.25,-90.0,top
R43,2.2k,R_0402_1005Metric,111.15,-85.25,-90.0,top
R44,2.2k,R_0402_1005Metric,112.15,-77.6,90.0,top
R45,2.2k,R_0402_1005Metric,111.15,-77.6,90.0,top
R46,200k,R_0402_1005Metric,114.15,-85.25,-90.0,top
R47,1k,R_0402_1005Metric,122.5,-58.4,0.0,top
R48,1k,R_0402_1005Metric,131.7,-73.25,0.0,top
R49,10k,R_0402_1005Metric,129.7,-73.25,0.0,top
R5,3m,R_Shunt_Vishay_WSKW0612,59.99975,-68.0,0.0,top
R50,100R,R_0402_1005Metric,139.575,-74.675,90.0,top
R51,100k,R_0402_1005Metric,138.025,-75.175,0.0,top
R6,3m,R_Shunt_Vishay_WSKW0612,55.99975,-68.0,0.0,top
R7,10k,R_0402_1005Metric,132.5,-93.7,0.0,top
R8,10R,R_0402_1005Metric,84.8,-80.9,0.0,top
R9,10R,R_0402_1005Metric,84.8,-79.9,0.0,top
SW1,SKRK,SW_Push_SPST_NO_Alps_SKRK,131.5,-97.0,90.0,top
SW2,PCM12,SW_SPDT_PCM12,124.5,-96.825,0.0,top
U1,INA238,VSSOP-10_3x3mm_P0.5mm,90.0,-79.1,180.0,top
U10,B0505ST8-W3,SSO-8_6.8x5.9mm_P1.27mm_Clearance8mm,109.0,-97.3,180.0,top
U11,ISO1540,SOIC-8_3.9x4.9mm_P1.27mm,109.0,-72.4,0.0,top
U12,ADuM260N,SOIC-16W_7.5x12.8mm_P1.27mm,109.1,-59.1,0.0,top
U13,MIC5219-3.3YM5,SOT-23-5,131.8,-59.8,90.0,top
U14,PCA9306,VSSOP-8_2.3x2mm_P0.5mm,111.9,-81.25,-90.0,top
U15,TMP102xxDRL,SOT-563,52.0,-38.0,180.0,top
U16,TMP102xxDRL,SOT-563,50.3,-68.0,90.0,top
U17,TMP102xxDRL,SOT-563,52.1,-98.0,0.0,top
U2,INA238,VSSOP-10_3x3mm_P0.5mm,90.0,-74.7,180.0,top
U3,INA238,VSSOP-10_3x3mm_P0.5mm,90.0,-70.3,180.0,top
U4,INA238,VSSOP-10_3x3mm_P0.5mm,90.0,-65.9,180.0,top
U5,INA238,VSSOP-10_3x3mm_P0.5mm,90.0,-61.5,180.0,top
U6,INA238,VSSOP-10_3x3mm_P0.5mm,90.0,-57.1,180.0,top
U7,STM32F103C8Tx,LQFP-48_7x7mm_P0.5mm,122.5,-72.8,90.0,top
U8,USBLC6-2SC6,SOT-23-6,134.5,-66.4,180.0,top
U9,TLP175A,Toshiba_SOIC-4-6_4.4x3.6mm_P1.27mm,124.2,-50.7,0.0,top
Y1,8M YSX530GA 20pF,Crystal_SMD_5032-2Pin_5.0x3.2mm,123.05,-84.15,180.0,top
Y2,32.768k FC-135 12.5pF,Crystal_SMD_3215-2Pin_3.2x1.5mm,117.0,-80.1,0.0,top
